#Overview of data in ClinVar by gene, dated March 2, 2020
#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
ABCB11	8647	546	404	523	59	603201	198	38
ABCB4	5244	437	287	422	71	171060	161	22
ABCB5	340273	42	42	6	-	611785	5	0
ABCB6	10058	52	52	25	9	605452	5	0
ABCB7	22	227	194	85	8	300135	19	1
ABCB8	11194	69	69	9	-	605464	3	0
ABCB9	23457	19	19	-	-	605453	3	0
ABCC1	4363	348	343	44	13	158343	157	1
ABCC10	89845	11	11	1	-	612509	-	-
ABCC11	85320	37	35	16	-	607040	4	0
ABCC12	94160	29	29	8	-	607041	4	0
ABCC2	1244	405	334	388	49	601107	210	16
ABCC3	8714	22	22	11	-	604323	1	0
ABCC4	10257	90	90	17	1	605250	10	0
ABCC5	10057	35	35	3	1	605251	2	0
ABCC5-AS1	100873982	20	20	-	1	-	1	0
ABCC6	368	916	779	604	375	603234	168	16
ABCC8	6833	1012	543	996	188	600509	131	41
ABCC9	10060	912	561	865	28	601439	199	34
ABCD1	215	745	574	522	143	300371	118	19
ABCD2	225	18	18	2	-	601081	6	0
ABCD3	5825	27	25	13	1	170995	6	0
ABCD4	5826	150	116	130	5	603214	21	2
ABCE1	6059	35	35	5	-	601213	2	0
ABCF1	23	12	12	3	-	603429	1	0
ABCF2	10061	61	61	-	1	612510	2	0
ABCF2-H2BE1	114483834	35	35	-	1	-	1	0
ABCF3	55324	33	33	1	-	-	2	0
ABCG1	9619	87	82	5	3	603076	4	0
ABCG2	9429	37	30	17	-	603756	3	0
ABCG4	64137	32	32	4	-	607784	3	0
ABCG5	64240	222	165	199	15	605459	94	10
ABCG8	64241	329	250	266	17	605460	160	19
ABHD1	84696	15	15	-	-	612195	3	0
ABHD10	55347	13	13	-	-	618756	-	-
ABHD11	83451	153	144	-	-	-	4	0
ABHD11-AS1	171022	153	144	-	-	612545	4	0
ABHD12	26090	125	99	93	17	613599	40	6
ABHD12B	145447	15	15	-	-	-	5	0
ABHD13	84945	89	89	-	-	-	6	0
ABHD14A	25864	11	11	-	-	618771	-	-
ABHD14A-ACY1	100526760	52	43	-	6	-	9	0
ABHD14B	84836	11	11	-	-	-	-	-
ABHD15	116236	9	9	-	-	-	-	-
ABHD16A	7920	9	9	-	-	142620	2	0
ABHD16B	140701	31	31	-	-	-	3	0
ABHD17A	81926	30	30	-	-	617942	4	0
ABHD17B	51104	42	41	-	-	617943	3	0
ABHD17C	58489	21	21	-	-	617944	2	0
ABHD18	80167	30	30	-	-	-	6	0
ABHD2	11057	35	35	5	1	612196	-	-
ABHD3	171586	36	34	1	-	612197	1	0
ABHD4	63874	19	19	-	-	-	1	0
ABHD5	51099	121	115	113	14	604780	60	3
ABHD6	57406	12	12	1	-	616966	1	0
ABHD8	79575	17	17	-	-	-	6	0
ABI1	10006	17	17	1	1	603050	2	0
ABI2	10152	21	21	-	-	606442	1	0
ABI3	51225	17	17	3	-	606363	2	0
ABI3BP	25890	18	18	-	1	606279	1	0
ABITRAM	54942	39	38	-	-	-	2	0
ABL1	25	132	117	53	31	189980	4	0
ABL2	27	30	30	6	1	164690	4	0
ABLIM1	3983	30	30	-	1	602330	2	0
ABLIM2	84448	63	63	1	-	612544	4	0
ABLIM3	22885	21	21	5	-	611305	4	0
ABO	28	65	63	18	-	110300	3	0
ABR	29	153	153	6	20	600365	27	0
ABRA	137735	41	41	-	-	609747	6	0
ABRACL	58527	11	11	-	-	-	1	0
ABRAXAS1	84142	210	169	184	2	611143	78	11
ABRAXAS2	23172	49	49	-	1	611144	1	0
ABT1	29777	11	11	-	-	618750	3	0
ABTB1	80325	10	10	-	-	608308	1	0
ABTB2	25841	33	33	-	2	-	5	0
ACAA1	30	13	13	-	-	604054	3	0
ACAA2	10449	42	40	1	-	604770	3	0
ACACA	31	137	130	13	-	200350	13	0
ACACB	32	71	71	44	1	601557	8	0
ACAD10	80724	19	19	-	-	611181	3	0
ACAD11	84129	16	16	3	-	614288	5	0
ACAD8	27034	207	177	120	13	604773	52	7
ACAD9	28976	232	184	218	30	611103	41	7
ACADL	33	51	47	29	-	609576	24	0
ACADM	34	597	335	566	112	607008	101	28
ACADS	35	292	173	274	45	606885	71	18
ACADSB	36	204	182	160	8	600301	89	7
ACADVL	37	858	527	821	140	609575	183	47
ACAN	176	175	164	142	25	155760	31	4
ACAP1	9744	25	25	-	1	607763	4	0
ACAP2	23527	44	44	1	-	607766	5	0
ACAP3	116983	144	142	-	-	-	7	0
ACAT1	38	279	214	262	97	607809	64	5
ACAT2	39	31	31	9	1	100678	5	0
ACBD3	64746	27	27	1	1	606809	-	-
ACBD3-AS1	107985353	14	14	-	-	-	-	-
ACBD4	79777	12	12	-	-	-	2	0
ACBD5	91452	39	36	11	2	616618	9	1
ACBD6	84320	73	68	2	7	616352	12	0
ACBD7	414149	18	18	-	-	-	-	-
ACBD7-DCLRE1CP1	108949267	8	8	-	-	-	-	-
ACCS	84680	21	21	4	-	608405	2	0
ACCSL	390110	17	17	-	-	-	2	0
ACD	65057	105	94	74	2	609377	31	1
ACE	1636	187	153	165	12	106180	75	8
ACE2	59272	183	179	3	-	300335	9	0
ACER1	125981	11	11	2	-	613491	1	0
ACER2	340485	85	83	-	2	613492	3	0
ACER3	55331	11	11	2	2	617036	-	-
ACHE	43	33	33	10	-	100740	1	0
ACIN1	22985	18	18	-	-	604562	-	-
ACKR1	2532	16	13	8	3	613665	1	0
ACKR2	1238	7	7	-	-	602648	-	-
ACKR3	57007	60	60	5	2	610376	3	0
ACKR4	51554	12	12	-	-	606065	2	0
ACLY	47	24	24	16	-	108728	10	0
ACMSD	130013	15	15	3	-	608889	1	0
ACO1	48	68	66	5	-	100880	-	-
ACO2	50	183	151	153	18	100850	33	1
ACOD1	730249	57	57	4	-	615275	-	-
ACOT1	641371	27	27	8	1	614313	-	-
ACOT11	26027	35	35	4	-	606803	3	0
ACOT12	134526	10	10	-	-	614315	4	0
ACOT13	55856	10	10	-	-	615652	2	0
ACOT2	10965	22	21	2	1	609972	-	-
ACOT4	122970	17	17	-	-	614314	3	0
ACOT6	641372	13	13	-	-	614267	-	-
ACOT7	11332	61	61	3	2	602587	4	0
ACOT8	10005	8	8	-	-	608123	-	-
ACOT9	23597	161	157	-	-	300862	6	0
ACOX1	51	211	183	187	18	609751	90	11
ACOX2	8309	37	37	19	2	601641	9	0
ACOX3	8310	79	79	16	1	603402	5	0
ACOXL	55289	55	53	-	1	-	20	0
ACOXL-AS1	400997	18	16	-	-	-	12	0
ACP1	52	60	60	8	-	171500	12	0
ACP2	53	23	23	11	-	171650	1	0
ACP3	55	16	16	5	-	171790	2	0
ACP4	93650	23	23	11	7	606362	1	0
ACP5	54	85	73	72	13	171640	25	2
ACP6	51205	269	259	4	2	611471	8	0
ACP7	390928	8	8	-	-	610490	-	-
ACR	49	127	123	6	39	102480	6	0
ACRBP	84519	40	40	-	-	608352	-	-
ACRV1	56	56	56	1	-	102525	1	0
ACSBG1	23205	24	24	4	-	614362	2	0
ACSBG2	81616	14	14	4	-	614363	1	0
ACSF2	80221	16	16	-	-	610465	-	-
ACSF3	197322	285	242	204	26	614245	38	3
ACSL1	2180	102	102	3	-	152425	6	0
ACSL3	2181	30	30	4	-	602371	-	-
ACSL3-AS1	105373904	10	10	-	-	-	-	-
ACSL4	2182	215	197	51	7	300157	22	4
ACSL5	51703	31	31	4	-	605677	1	0
ACSL6	23305	21	21	2	-	604443	2	0
ACSL6-AS1	101927693	7	7	-	-	-	-	-
ACSM1	116285	23	23	3	-	614357	7	0
ACSM2A	123876	22	22	2	-	614358	7	0
ACSM2B	348158	24	24	3	-	614359	7	0
ACSM3	6296	18	18	-	-	145505	5	0
ACSM4	341392	43	43	-	-	614360	4	0
ACSM5	54988	26	26	3	-	614361	8	0
ACSM6	142827	21	21	-	-	-	5	0
ACSS1	84532	21	21	-	-	614355	4	0
ACSS2	55902	18	18	5	1	605832	1	0
ACSS3	79611	16	16	-	-	614356	3	0
ACTA1	58	309	222	279	87	102610	56	6
ACTA2	59	365	205	344	21	102620	100	11
ACTA2-AS1	100132116	111	68	-	7	-	36	0
ACTB	60	267	205	217	57	102630	30	3
ACTBL2	345651	16	16	1	-	614835	5	0
ACTC1	70	778	317	760	20	102540	170	20
ACTE1P	399923	2	2	-	-	-	1	0
ACTG1	71	396	254	365	31	102560	38	8
ACTG2	72	81	48	70	25	102545	8	0
ACTL10	170487	14	14	-	-	-	2	0
ACTL6A	86	31	31	3	1	604958	5	0
ACTL6B	51412	48	39	26	13	612458	5	0
ACTL7A	10881	38	37	-	-	604303	1	0
ACTL7B	10880	38	37	1	-	604304	-	-
ACTL8	81569	21	21	-	-	-	7	0
ACTL9	284382	8	8	-	-	-	1	0
ACTN1	87	72	68	60	23	102575	18	1
ACTN1-AS1	161159	3	3	-	-	-	-	-
ACTN2	88	1106	606	1060	15	102573	288	38
ACTN3	89	12	10	3	-	102574	1	1
ACTN4	81	94	67	80	6	604638	12	0
ACTR10	55860	15	15	-	-	-	-	-
ACTR1A	10121	17	17	-	-	605143	-	-
ACTR1B	10120	22	22	-	-	605144	3	0
ACTR2	10097	15	15	-	-	604221	-	-
ACTR3	10096	13	13	1	1	604222	-	-
ACTR3B	57180	79	79	-	4	-	11	0
ACTR3C	653857	61	61	1	4	-	4	0
ACTR5	79913	9	9	-	-	-	1	0
ACTR6	64431	18	18	-	-	-	6	0
ACTR8	93973	11	11	1	-	-	2	0
ACTRT1	139741	178	174	3	-	300487	6	0
ACTRT2	140625	119	119	-	-	608535	16	0
ACTRT3	84517	22	22	-	1	608534	1	0
ACVR1	90	108	86	83	14	102576	20	1
ACVR1B	91	14	14	3	2	601300	2	0
ACVR1C	130399	24	24	6	-	608981	1	0
ACVR2A	92	34	34	4	3	102581	2	0
ACVR2B	93	228	193	213	1	602730	99	2
ACVR2B-AS1	100128640	5	5	-	-	-	1	0
ACVRL1	94	525	381	484	167	601284	97	8
ACY1	95	61	52	45	6	104620	9	3
ACY3	91703	18	18	-	-	614413	4	0
ACYP1	97	33	21	14	-	600875	2	1
ACYP2	98	32	32	2	-	102595	2	0
ADA	100	283	169	273	55	608958	42	9
ADA2	51816	192	160	124	22	607575	44	3
ADAD1	132612	19	19	-	-	614130	-	-
ADAD2	161931	56	56	-	-	-	12	0
ADAL	161823	21	21	2	1	-	6	0
ADAM10	102	28	28	12	6	602192	2	0
ADAM11	4185	14	14	2	1	155120	1	0
ADAM12	8038	65	65	7	1	602714	3	0
ADAM15	8751	14	13	4	-	605548	2	0
ADAM17	6868	100	100	80	2	603639	33	0
ADAM18	8749	45	45	-	1	-	3	0
ADAM19	8728	25	25	8	-	603640	1	0
ADAM2	2515	46	46	-	1	601533	4	0
ADAM20	8748	10	10	-	-	603712	-	-
ADAM21	8747	10	10	-	-	603713	-	-
ADAM22	53616	42	42	25	2	603709	4	0
ADAM23	8745	28	28	10	1	603710	-	-
ADAM28	10863	73	73	3	1	606188	5	0
ADAM29	11086	66	66	-	-	604778	5	0
ADAM30	11085	18	18	-	-	604779	8	0
ADAM32	203102	47	47	-	2	618602	3	0
ADAM33	80332	49	48	12	-	607114	10	0
ADAM7	8756	71	71	-	-	607310	7	0
ADAM8	101	102	102	8	-	602267	12	0
ADAM9	8754	117	101	70	8	602713	31	4
ADAMDEC1	27299	78	78	9	-	606393	5	0
ADAMTS1	9510	84	79	20	-	605174	2	0
ADAMTS10	81794	132	113	123	8	608990	38	6
ADAMTS12	81792	33	33	9	-	606184	1	0
ADAMTS13	11093	270	211	227	37	604134	39	9
ADAMTS14	140766	20	20	5	-	607506	1	0
ADAMTS15	170689	79	79	5	-	607509	2	0
ADAMTS16	170690	105	105	1	-	607510	1	0
ADAMTS17	170691	363	341	256	9	607511	147	8
ADAMTS18	170692	107	106	50	8	607512	28	0
ADAMTS19	171019	30	30	7	-	607513	5	0
ADAMTS19-AS1	103689846	7	7	-	-	-	1	0
ADAMTS2	9509	651	464	599	9	604539	170	33
ADAMTS20	80070	16	16	2	-	611681	3	0
ADAMTS3	9508	32	32	13	4	605011	4	0
ADAMTS4	9507	24	24	1	-	603876	10	0
ADAMTS5	11096	71	66	4	-	605007	4	0
ADAMTS6	11174	17	17	1	1	605008	2	0
ADAMTS7	11173	37	37	16	-	605009	1	0
ADAMTS8	11095	75	75	1	1	605175	2	0
ADAMTS9	56999	28	28	17	-	605421	1	0
ADAMTS9-AS1	101929335	4	4	-	-	-	-	-
ADAMTS9-AS2	100507098	11	11	-	2	-	-	-
ADAMTSL1	92949	108	106	13	9	609198	4	0
ADAMTSL2	9719	155	134	114	9	612277	53	0
ADAMTSL3	57188	58	58	12	1	609199	10	0
ADAMTSL4	54507	164	128	152	12	610113	58	12
ADAMTSL4-AS1	574406	3	3	-	-	-	-	-
ADAMTSL4-AS2	100289061	63	47	-	6	-	19	0
ADAMTSL5	339366	22	22	-	-	-	4	0
ADAP1	11033	79	79	2	-	608114	9	0
ADAP2	55803	54	54	1	-	608635	14	0
ADAR	103	280	221	265	30	146920	89	10
ADARB1	104	100	94	4	3	601218	13	0
ADARB2	105	62	62	9	3	602065	12	0
ADARB2-AS1	642394	18	18	-	-	-	2	0
ADAT1	23536	39	39	1	-	604230	12	0
ADAT2	134637	12	12	-	1	615388	-	-
ADAT3	113179	70	60	39	2	615302	17	2
ADCK1	57143	24	24	-	-	-	4	0
ADCK2	90956	38	38	-	-	-	1	0
ADCK5	203054	59	59	-	-	-	10	0
ADCY1	107	63	52	39	1	103072	9	0
ADCY10	55811	46	45	30	1	605205	1	0
ADCY2	108	109	109	3	3	103071	6	0
ADCY3	109	30	30	12	-	600291	3	0
ADCY4	196883	20	20	1	-	600292	-	-
ADCY5	111	140	125	109	21	600293	43	3
ADCY6	112	43	43	29	2	600294	4	0
ADCY6-DT	100506125	1	1	-	-	-	-	-
ADCY7	113	31	31	7	-	600385	3	0
ADCY8	114	57	57	6	-	103070	5	0
ADCY9	115	63	63	21	5	603302	6	0
ADCYAP1	116	123	118	-	-	102980	18	0
ADCYAP1R1	117	26	26	2	-	102981	3	0
ADD1	118	103	102	11	-	102680	4	0
ADD2	119	13	13	3	-	102681	1	0
ADD3	120	49	46	23	1	601568	4	1
ADD3-AS1	100505933	8	8	-	-	-	1	0
ADGB	79747	17	17	-	2	614630	2	0
ADGRA1	84435	95	95	1	-	612302	12	0
ADGRA1-AS1	100128127	43	43	-	-	-	6	0
ADGRA2	25960	53	53	5	-	606823	6	0
ADGRA3	166647	54	54	25	2	612303	5	0
ADGRB1	575	55	55	8	-	602682	3	0
ADGRB2	576	31	31	16	1	602683	4	0
ADGRB3	577	20	20	2	5	602684	1	0
ADGRD1	283383	23	23	-	-	613639	3	0
ADGRD1-AS1	105755954	9	9	-	-	-	-	-
ADGRD2	347088	29	28	-	-	-	-	-
ADGRE1	2015	17	17	6	-	600493	1	0
ADGRE2	30817	36	36	21	5	606100	2	0
ADGRE3	84658	31	31	-	-	606101	2	0
ADGRE5	976	20	20	4	-	601211	2	0
ADGRF1	266977	12	12	2	-	617430	-	-
ADGRF2	222611	10	10	-	-	-	-	-
ADGRF3	165082	16	16	-	2	-	2	0
ADGRF4	221393	11	11	1	-	614268	1	0
ADGRF5	221395	10	10	-	-	-	-	-
ADGRF5-AS1	101926962	2	2	-	-	-	-	-
ADGRG1	9289	279	190	255	31	604110	43	15
ADGRG2	10149	188	181	19	9	300572	7	0
ADGRG3	222487	28	28	-	-	618441	6	0
ADGRG4	139378	172	168	1	1	-	4	0
ADGRG5	221188	25	25	2	-	616965	6	0
ADGRG6	57211	53	49	37	4	612243	4	0
ADGRG7	84873	28	27	7	-	612307	-	-
ADGRL1	22859	22	22	4	2	616416	3	0
ADGRL2	23266	20	20	4	-	607018	2	0
ADGRL3	23284	22	22	-	-	616417	5	0
ADGRL3-AS1	101927186	7	7	-	-	-	-	-
ADGRL4	64123	27	27	1	-	616419	10	0
ADGRV1	84059	1773	999	1715	102	602851	358	89
ADH1A	124	18	18	1	-	103700	1	0
ADH1B	125	28	27	11	-	103720	4	0
ADH1C	126	25	25	9	-	103730	4	0
ADH4	127	16	16	1	-	103740	1	0
ADH5	128	15	15	-	-	103710	1	0
ADH6	130	15	15	-	-	103735	1	0
ADH7	131	18	18	1	-	600086	4	0
ADHFE1	137872	25	25	-	-	611083	1	0
ADI1	55256	29	29	-	-	613400	5	0
ADIG	149685	8	8	-	-	611396	-	-
ADIPOQ	9370	50	50	8	2	605441	4	0
ADIPOQ-AS1	100874095	26	26	-	1	-	2	0
ADIPOR1	51094	15	15	2	-	607945	2	0
ADIPOR2	79602	67	67	1	1	607946	6	0
ADIRF	10974	36	36	-	-	-	1	0
ADIRF-AS1	100133190	36	36	-	-	-	1	0
ADK	132	55	53	35	8	102750	19	1
ADM	133	19	19	4	-	103275	1	0
ADM2	79924	110	108	1	2	608682	6	0
ADM5	199800	8	8	-	-	-	1	0
ADNP	23394	200	153	180	50	611386	24	2
ADNP-AS1	101927631	48	37	-	6	-	13	0
ADNP2	22850	153	146	-	-	617422	8	0
ADO	84890	14	14	-	-	611392	2	0
ADORA1	134	19	19	8	-	102775	2	0
ADORA2A	135	89	85	7	-	102776	34	0
ADORA2A-AS1	646023	47	43	-	-	-	25	0
ADORA2B	136	38	38	4	3	600446	8	0
ADORA3	140	11	11	-	-	600445	-	-
ADPGK	83440	31	31	-	-	611861	2	0
ADPGK-AS1	100287559	10	10	-	-	-	-	-
ADPRH	141	18	18	-	-	603081	4	0
ADPRHL1	113622	105	105	4	-	610620	7	0
ADPRM	56985	16	16	-	-	-	4	0
ADPRS	54936	27	23	14	10	610624	3	1
ADRA1A	148	71	71	5	-	104221	2	0
ADRA1B	147	17	17	1	-	104220	-	-
ADRA1D	146	28	28	1	-	104219	3	0
ADRA2A	150	28	28	4	-	104210	-	-
ADRA2B	151	56	56	12	1	104260	22	0
ADRA2C	152	85	85	3	-	104250	2	0
ADRB1	153	40	39	14	-	109630	-	-
ADRB2	154	34	31	18	-	109690	2	0
ADRB3	155	52	52	4	-	109691	5	0
ADRM1	11047	28	28	6	-	610650	4	0
ADSL	158	345	226	325	30	608222	97	18
ADSS1	122622	81	79	25	3	612498	6	0
ADSS2	159	81	81	-	1	103060	2	0
ADTRP	84830	27	27	-	-	614348	2	0
AEBP1	165	40	39	17	5	602981	1	0
AEBP2	121536	36	36	-	-	617934	2	0
AEN	64782	28	28	-	-	610177	-	-
AFAP1	60312	65	65	2	2	608252	3	0
AFAP1-AS1	84740	31	31	-	-	-	1	0
AFAP1L1	134265	16	16	-	-	614410	2	0
AFAP1L2	84632	45	45	2	1	612420	1	0
AFDN	4301	62	62	3	4	159559	3	0
AFDN-DT	653483	20	20	-	-	-	-	-
AFF1	4299	37	37	9	2	159557	6	0
AFF1-AS1	100506746	9	9	-	-	-	-	-
AFF2	2334	309	284	109	8	300806	64	1
AFF3	3899	23	23	2	2	601464	6	0
AFF4	27125	66	62	44	3	604417	10	0
AFG1L	246269	19	19	-	-	617469	2	0
AFG3L2	10939	303	232	219	28	604581	65	6
AFM	173	15	15	-	-	104145	1	0
AFMID	125061	17	17	-	-	-	-	-
AFP	174	26	26	11	2	104150	1	0
AFTPH	54812	15	15	-	1	-	-	-
AGA	175	263	202	188	49	613228	35	9
AGAP1	116987	79	79	5	9	608651	17	0
AGAP1-IT1	100506749	24	24	-	-	-	1	0
AGAP10	728127	98	97	-	-	-	8	0
AGAP11	119385	42	42	-	1	-	1	0
AGAP2	116986	9	9	1	-	605476	-	-
AGAP2-AS1	100130776	3	3	-	-	-	-	-
AGAP3	116988	62	62	1	1	616813	4	0
AGAP4	119016	38	38	-	-	-	3	0
AGAP5	729092	18	18	-	-	-	2	0
AGAP6	414189	44	44	1	-	-	14	0
AGAP9	642517	100	100	-	-	-	9	0
AGBL1	123624	37	36	3	3	615496	8	1
AGBL1-AS1	727915	8	8	-	-	-	-	-
AGBL2	79841	22	22	10	1	617345	1	0
AGBL3	340351	41	41	9	1	617346	2	0
AGBL4	84871	41	41	-	-	616476	16	0
AGBL4-AS1	101929721	3	3	-	-	-	2	0
AGBL4-IT1	100874313	5	5	-	-	-	3	0
AGBL5	60509	39	39	24	3	615900	2	0
AGBL5-AS1	100874031	9	9	-	-	-	2	0
AGER	177	24	22	14	-	600214	3	2
AGFG1	3267	21	21	2	-	600862	1	0
AGFG2	3268	20	20	-	-	604019	1	0
AGGF1	55109	20	20	8	-	608464	2	0
AGK	55750	223	156	183	21	610345	40	10
AGL	178	933	654	912	168	610860	263	22
AGMAT	79814	32	32	3	-	617887	3	0
AGMO	392636	76	75	13	2	613738	23	1
AGO1	26523	36	35	21	-	606228	7	0
AGO2	27161	61	61	12	-	606229	5	0
AGO3	192669	31	31	16	3	607355	4	0
AGO4	192670	13	13	-	-	607356	3	0
AGPAT1	10554	10	10	-	-	603099	3	0
AGPAT2	10555	184	156	130	28	603100	43	7
AGPAT3	56894	85	80	-	-	614794	9	0
AGPAT4	56895	31	31	-	1	614795	5	0
AGPAT4-IT1	79992	14	14	-	-	-	1	0
AGPAT5	55326	100	99	2	-	614796	6	0
AGPS	8540	225	187	199	4	603051	86	10
AGR2	10551	38	38	-	-	606358	5	0
AGR3	155465	47	47	-	-	609482	6	0
AGRN	375790	963	753	808	21	103320	239	13
AGRP	181	31	30	3	1	602311	4	0
AGT	183	110	98	77	6	106150	37	3
AGTPBP1	23287	51	48	13	12	606830	6	0
AGTR1	185	59	55	46	4	106165	22	0
AGTR2	186	185	174	28	-	300034	17	0
AGTRAP	57085	42	42	-	-	608729	8	0
AGXT	189	559	393	471	194	604285	61	7
AGXT2	64902	31	30	9	-	612471	3	0
AHCTF1	25909	86	86	2	-	610853	10	0
AHCY	191	89	75	71	3	180960	28	7
AHCYL1	10768	17	17	-	-	607826	1	0
AHCYL2	23382	25	25	-	1	616520	1	0
AHDC1	27245	179	162	161	50	615790	22	0
AHI1	54806	456	299	420	74	608894	83	18
AHNAK	79026	95	93	84	2	103390	4	1
AHNAK2	113146	74	74	17	-	608570	10	0
AHR	196	67	67	11	2	600253	16	0
AHRR	57491	141	141	6	-	606517	11	0
AHSA1	10598	22	22	2	-	608466	3	0
AHSG	197	53	53	16	1	138680	-	-
AHSP	51327	16	16	1	-	605821	4	0
AICDA	57379	140	117	97	21	605257	38	4
AIDA	64853	18	18	-	1	612375	1	0
AIF1	199	9	9	-	-	601833	2	0
AIF1L	83543	34	33	-	-	-	1	0
AIFM1	9131	344	295	174	34	300169	37	4
AIFM1	9131	344	295	174	34	300614	37	4
AIFM1	9131	344	295	174	34	310490	37	4
AIFM2	84883	14	14	-	-	605159	1	0
AIFM3	150209	360	343	-	1	617298	43	0
AIG1	51390	13	13	-	-	608514	1	0
AIM2	9447	13	13	5	-	604578	1	0
AIMP1	9255	35	34	14	5	603605	4	0
AIMP2	7965	59	58	7	1	600859	10	1
AIP	9049	196	138	181	54	605555	27	10
AIPL1	23746	411	166	385	15	604392	62	12
AIRE	326	478	361	391	76	607358	82	10
AIRN	100271873	22	22	-	-	604893	2	0
AJAP1	55966	75	75	3	4	610972	3	0
AJM1	389813	66	65	-	-	-	-	-
AJUBA	84962	19	19	-	-	609066	1	0
AK1	203	60	57	15	8	103000	3	0
AK2	204	81	74	68	15	103020	28	1
AK3	50808	148	146	-	-	609290	1	0
AK4	205	26	26	-	-	103030	4	0
AK5	26289	29	29	4	1	608009	8	0
AK6	102157402	5	5	-	-	-	1	0
AK7	122481	28	27	7	4	615364	3	0
AK8	158067	38	37	-	1	615365	2	0
AK9	221264	35	35	11	2	615358	4	0
AKAIN1	642597	98	93	-	-	616427	5	0
AKAP1	8165	31	31	18	-	602449	2	0
AKAP10	11216	108	108	2	-	604694	10	0
AKAP11	11215	47	47	9	-	604696	1	0
AKAP12	9590	37	37	17	-	604698	1	0
AKAP13	11214	47	47	16	2	604686	2	0
AKAP14	158798	164	160	-	-	300462	6	0
AKAP17A	8227	116	112	-	-	312095	8	0
AKAP17A	8227	116	112	-	-	465000	8	0
AKAP2	11217	56	54	-	-	604582	2	0
AKAP3	10566	56	56	2	-	604689	3	0
AKAP4	8852	155	151	-	-	300185	1	0
AKAP5	9495	14	14	3	-	604688	-	-
AKAP6	9472	35	35	9	-	604691	5	0
AKAP7	9465	14	14	-	1	604693	-	-
AKAP8	10270	42	42	26	1	604692	3	0
AKAP8L	26993	19	19	4	-	609475	3	0
AKAP9	10142	1199	683	1164	4	604001	315	63
AKIP1	56672	19	19	1	-	609191	3	0
AKIRIN1	79647	12	12	-	-	615164	3	0
AKIRIN2	55122	19	19	2	-	615165	3	0
AKNA	80709	46	45	7	-	605729	5	0
AKNAD1	254268	19	19	-	-	-	2	0
AKR1A1	10327	22	22	3	-	103830	10	0
AKR1B1	231	39	39	8	-	103880	1	0
AKR1B10	57016	31	31	-	-	604707	1	0
AKR1B15	441282	35	35	4	-	616336	1	0
AKR1C1	1645	42	42	4	-	600449	3	0
AKR1C2	1646	48	47	7	5	600450	4	0
AKR1C3	8644	49	49	8	-	603966	6	0
